1,As a child, my favorite game was ______
2,My favorite movie of all time is ______
3,Today, I have the most fun when ______
4,I would be the happiest person in the world if I had ______
5,I will eat anything put in front of me except ______
6,I can explain my life as an animal and that animal is a ______
7,If I had all the money in the world, I would ______
8,School for me was ______
9,If I had to give up some modern convenience, like TV, car, toilet, telephone, lighting, I would select ______
10,If I had to choose between losing my hearing or sight, I would choose ______
11,If you could be a character in a book or novel, who would you be and why?
12,If you had the option to live in any period in history, what era would you select and why?
13,If you could re-live your childhood in some other country than your own, what country would you choose and why?
14,List three things that bring you energy. List three things that drain your energy.
15,How attentive are you to your physical health?
16,If you could speak one language other than your native language, what would it be and why?
17,You are in the library that is burning down and you can only save two books. Which two do you choose? What would the world lose if those two books were gone?
18,What is the most transformative travel experience you have every had? What made it so?
19,A gift I can give to others is ______
20,A gift I would like to receive from others is ______
21,What makes me laugh is ...
22,Talk about a mistake you recently made.
23,If you could magically have 2 more hours every day (a 26 hour day), what would you do with the extra time?
24,If you suddenly lost 2 hours every day (a 22 hour day), what would you cut out of your current schedule to accommodate for the lost time?
25,Assume you have absolutely NO restrictions and you could live anywhere in the world. Where would you live and why? What restrictions did you have to “remove” from your thought process in order to live there?
26,What was the last book that you read, cover to cover? Why did you read it? What did you learn from it? Would you recommend it to others?
27,Share something mischievous you did as a child.
28,Your home is about to be hit by a tornado! You have 10 minutes to grab a few things and get out. What would you take?
29,What is the most surprising thing you have learned about your childhood?
30,Name something that happened in the last 90 days that you are proud of.
31,Which holiday has the most meaning to you? Why?
32,Complete the sentence: “I wish all people would.....”
33,Describe the perfect vacation for you.
... (questions 34 to 999)
